col:taxonID	col:gazetteer	col:area
urn:lsid:nmbe.ch:spidersp:006620	text	Japan
urn:lsid:nmbe.ch:spidersp:050040	text	Venezuela
urn:lsid:nmbe.ch:spidersp:028288	text	USA
urn:lsid:nmbe.ch:spidersp:048889	text	China
urn:lsid:nmbe.ch:spidersp:031553	text	Brazil
urn:lsid:nmbe.ch:spidersp:036296	text	Vanuatu
urn:lsid:nmbe.ch:spidersp:007932	text	Taiwan, Japan (Ryukyu Is.)
urn:lsid:nmbe.ch:spidersp:043396	text	Mexico
urn:lsid:nmbe.ch:spidersp:039163	text	Portugal
urn:lsid:nmbe.ch:spidersp:012233	text	Austral Is. (Rapa)
urn:lsid:nmbe.ch:spidersp:044453	text	Peru
urn:lsid:nmbe.ch:spidersp:023997	text	Chile (Juan Fernandez Is.)
urn:lsid:nmbe.ch:spidersp:022685	text	USA
urn:lsid:nmbe.ch:spidersp:025140	text	Mexico
urn:lsid:nmbe.ch:spidersp:040943	text	China
urn:lsid:nmbe.ch:spidersp:027487	text	South Africa
urn:lsid:nmbe.ch:spidersp:020342	text	Madagascar
urn:lsid:nmbe.ch:spidersp:046194	text	China
urn:lsid:nmbe.ch:spidersp:017031	text	USA, Mexico, Bahama Is., Cuba, Jamaica
urn:lsid:nmbe.ch:spidersp:041651	text	Zimbabwe
urn:lsid:nmbe.ch:spidersp:039499	text	Thailand, Cambodia, Laos
urn:lsid:nmbe.ch:spidersp:049261	text	Malaysia (Borneo)
urn:lsid:nmbe.ch:spidersp:034751	text	New South Wales, Victoria
urn:lsid:nmbe.ch:spidersp:029860	text	Costa Rica
urn:lsid:nmbe.ch:spidersp:028772	text	Madagascar
urn:lsid:nmbe.ch:spidersp:003422	text	Mexico
urn:lsid:nmbe.ch:spidersp:052587	text	China
urn:lsid:nmbe.ch:spidersp:030712	text	Brazil
urn:lsid:nmbe.ch:spidersp:031800	text	Canary Is.
urn:lsid:nmbe.ch:spidersp:007461	text	North America, Europe, Caucasus, Russia (Europe to South Siberia), Kazakhstan, Iran, Japan
urn:lsid:nmbe.ch:spidersp:051201	text	Vietnam
urn:lsid:nmbe.ch:spidersp:024301	text	USA
urn:lsid:nmbe.ch:spidersp:044900	text	China
urn:lsid:nmbe.ch:spidersp:008794	text	China
urn:lsid:nmbe.ch:spidersp:017898	text	West Africa
urn:lsid:nmbe.ch:spidersp:009886	text	USA
urn:lsid:nmbe.ch:spidersp:038322	text	Portugal
urn:lsid:nmbe.ch:spidersp:013072	text	Bosnia and Herzegovina, Serbia, Montenegro
urn:lsid:nmbe.ch:spidersp:045612	text	Japan (Ryukyu Is.)
urn:lsid:nmbe.ch:spidersp:016270	text	China, Thailand
urn:lsid:nmbe.ch:spidersp:040410	text	Australia (South Australia)
urn:lsid:nmbe.ch:spidersp:021103	text	El Salvador
urn:lsid:nmbe.ch:spidersp:029533	text	Pakistan, India, Malaysia
urn:lsid:nmbe.ch:spidersp:002663	text	USA, Mexico
urn:lsid:nmbe.ch:spidersp:003971	text	Brazil
urn:lsid:nmbe.ch:spidersp:019185	text	USA
urn:lsid:nmbe.ch:spidersp:048020	text	Ecuador
urn:lsid:nmbe.ch:spidersp:035510	text	Algeria
urn:lsid:nmbe.ch:spidersp:051651	text	Portugal
urn:lsid:nmbe.ch:spidersp:007031	text	USA to Paraguay
urn:lsid:nmbe.ch:spidersp:029499	text	Trinidad and Tobago, French Guiana, Brazil
urn:lsid:nmbe.ch:spidersp:050943	text	Philippines (Luzon)
urn:lsid:nmbe.ch:spidersp:037487	text	Yemen
urn:lsid:nmbe.ch:spidersp:030342	text	Thailand to Australia, Lord Howe Is.
urn:lsid:nmbe.ch:spidersp:045242	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:013422	text	USA
urn:lsid:nmbe.ch:spidersp:038772	text	China
urn:lsid:nmbe.ch:spidersp:042587	text	USA
urn:lsid:nmbe.ch:spidersp:025843	text	Indonesia (Sulawesi)
urn:lsid:nmbe.ch:spidersp:024751	text	Britain, France, Netherlands, Poland, Slovakia, Hungary, Romania, Serbia
urn:lsid:nmbe.ch:spidersp:023094	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:046897	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:021553	text	New Zealand
urn:lsid:nmbe.ch:spidersp:026296	text	Australia. Introduced to New Zealand
urn:lsid:nmbe.ch:spidersp:017932	text	USA
urn:lsid:nmbe.ch:spidersp:040040	text	India
urn:lsid:nmbe.ch:spidersp:016620	text	Mexico to Brazil
urn:lsid:nmbe.ch:spidersp:038288	text	Azerbaijan, Kyrgyzstan
urn:lsid:nmbe.ch:spidersp:047785	text	Tanzania
urn:lsid:nmbe.ch:spidersp:032685	text	Russia (South Siberia)
urn:lsid:nmbe.ch:spidersp:035140	text	China (Hainan)
urn:lsid:nmbe.ch:spidersp:048470	text	Russia (Europe)
urn:lsid:nmbe.ch:spidersp:053396	text	China
urn:lsid:nmbe.ch:spidersp:002233	text	Mexico
urn:lsid:nmbe.ch:spidersp:029163	text	Ecuador. Introduced to Germany
urn:lsid:nmbe.ch:spidersp:046747	text	China
urn:lsid:nmbe.ch:spidersp:010127	text	Colombia
urn:lsid:nmbe.ch:spidersp:041082	text	Mexico
urn:lsid:nmbe.ch:spidersp:045868	text	Ecuador (Galapagos Is.)
urn:lsid:nmbe.ch:spidersp:027254	text	China, Nepal
urn:lsid:nmbe.ch:spidersp:025269	text	Venezuela
urn:lsid:nmbe.ch:spidersp:020591	text	Colombia, Peru, Bolivia, Brazil
urn:lsid:nmbe.ch:spidersp:047855	text	Nigeria
urn:lsid:nmbe.ch:spidersp:050369	text	China
urn:lsid:nmbe.ch:spidersp:006509	text	New Zealand
urn:lsid:nmbe.ch:spidersp:032955	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:030968	text	Madagascar
urn:lsid:nmbe.ch:spidersp:052354	text	Venezuela
urn:lsid:nmbe.ch:spidersp:004534	text	Morocco
urn:lsid:nmbe.ch:spidersp:034182	text	Bhutan, China
urn:lsid:nmbe.ch:spidersp:033647	text	USA, Mexico
urn:lsid:nmbe.ch:spidersp:018517	text	Ethiopia, Congo, Rwanda
urn:lsid:nmbe.ch:spidersp:049148	text	Ecuador
urn:lsid:nmbe.ch:spidersp:034478	text	Peru
urn:lsid:nmbe.ch:spidersp:000824	text	New Zealand
urn:lsid:nmbe.ch:spidersp:031380	text	Indonesia (Java)
urn:lsid:nmbe.ch:spidersp:002819	text	Bolivia, Brazil, Uruguay, Chile, Argentina
urn:lsid:nmbe.ch:spidersp:036445	text	Europe, Turkey, Israel, Caucasus, Iran, Russia (Europe) to Central Asia, China, Japan
urn:lsid:nmbe.ch:spidersp:051981	text	China
urn:lsid:nmbe.ch:spidersp:050693	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:001736	text	USA
urn:lsid:nmbe.ch:spidersp:022056	text	Central Europe
urn:lsid:nmbe.ch:spidersp:009306	text	Nepal
urn:lsid:nmbe.ch:spidersp:025793	text	Israel, Syria
urn:lsid:nmbe.ch:spidersp:024881	text	Philippines
urn:lsid:nmbe.ch:spidersp:043545	text	China
urn:lsid:nmbe.ch:spidersp:015325	text	Europe, Turkey, Russia (Europe) to Central Asia, China, Korea
urn:lsid:nmbe.ch:spidersp:041578	text	Ukraine, Russia, Kazakhstan, Mongolia
urn:lsid:nmbe.ch:spidersp:017318	text	Western Mediterranean
urn:lsid:nmbe.ch:spidersp:044280	text	China
urn:lsid:nmbe.ch:spidersp:038908	text	Mexico
urn:lsid:nmbe.ch:spidersp:027604	text	Algeria, Tunisia, Egypt, Israel
urn:lsid:nmbe.ch:spidersp:025639	text	South Africa
urn:lsid:nmbe.ch:spidersp:010577	text	USA
urn:lsid:nmbe.ch:spidersp:046317	text	Mexico
urn:lsid:nmbe.ch:spidersp:026916	text	China, India
urn:lsid:nmbe.ch:spidersp:053816	text	Australia (Tasmania)
urn:lsid:nmbe.ch:spidersp:018147	text	French Guiana
urn:lsid:nmbe.ch:spidersp:033217	text	Philippines, Caroline Is.
urn:lsid:nmbe.ch:spidersp:006159	text	Australia (Queensland, New South Wales, Lord Howe Is.)
urn:lsid:nmbe.ch:spidersp:050739	text	China
urn:lsid:nmbe.ch:spidersp:004164	text	Belize
urn:lsid:nmbe.ch:spidersp:052704	text	South Africa
urn:lsid:nmbe.ch:spidersp:001366	text	Brazil
urn:lsid:nmbe.ch:spidersp:034028	text	Madagascar
urn:lsid:nmbe.ch:spidersp:049518	text	Papua New Guinea
urn:lsid:nmbe.ch:spidersp:036015	text	Russia (South Siberia, Far East), Mongolia, China, Japan
urn:lsid:nmbe.ch:spidersp:015775	text	China
urn:lsid:nmbe.ch:spidersp:043115	text	Australia (New South Wales)
